MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,PCE,V_OC,J_SC,FF,Eg
0.5,0.2,0.3,0,1,0,0,0,3,14.2,1.14,117.2,0.71,1.64
0,0.7,0.3,0,0.7,0.3,0,0,3,13.735,0.7,249.65,0.7585,1.3
0,0.7,0.3,0,1,0,0,0.15,2.85,16.54,1.05,216.2,0.73,1.62
0,0.7,0.3,0,1,0,0,3,0,7.395,1.3395,70.85,0.779,2.287
0,0.7,0.3,0,1,0,0,0,3,8.7,0.99,134,0.66,1.523
0.7,0,0.3,0,0.5,0.5,0,0,3,2.94,0.39,149.6,0.504,1.28
0.6,0,0.4,0,1,0,0,0,3,2.5,1.03,42.6,0.57,1.62
0,0.55,0.45,0,1,0,0,0.15,2.85,13.14,1.01,203.7,0.64,1.62
0.4,0.2,0.4,0,1,0,0,0,3,11.3,1.15,143,0.67,1.64
0,0.6,0.4,0,1,0,0,0.9,2.1,14.5,1.14,158,0.78,1.76
0,0.6,0.4,0,1,0,0,1.05,1.95,15.5,1.21,165,0.77,1.8
0.1,0.4,0.5,0,1,0,0,0.51,2.49,13.3,1.089,158,0.78,1.7
0,0.5,0.5,0,1,0,0,0.51,2.49,8.5,0.846,176,0.57,1.62
0,0.5,0.5,0,1,0,0,0,3,15.8,1.155,179,0.7415,1.64
0.4,0,0.6,0,1,0,0,0,3,0.79,1.01,15,0.52,1.68
0,0.25,0.75,0,1,0,0,0,3,10.965,1.15,154.3,0.62,1.685
0.2,0,0.8,0,1,0,0,0,3,0.22,0.84,0.58,0.46,1.72
0,0.12,0.88,0,1,0,0,0,3,17.49,1.013,228.6,0.765,1.51
0,0.2,0.8,0,1,0,0,0.9,2.1,16.1,1.17,178.8,0.782,1.73
0,0,1,0,0.1,0.9,0,0,3,0.4,0.206,1.77,0.31,1.22
0,0,1,0,0.3,0.7,0,0,3,0.28,0.477,3.9,0.46,1.29
0,0,1,0,0.6,0.4,0,0,3,12.51,0.735,245.7,0.624,1.38
0,0,1,0,0.9,0.1,0,2,1,10.715,1.265,143.9,0.615,1.79
0,0,1,0,1,0,0,1,2,1.56,0.71,79.4,0.282,1.92
0,0,1,0,1,0,0,0.09,2.91,0.7,0.29,99,0.242,1.77
0,0,1,0,1,0,0,0.15,2.85,12.71,1.012,188.7,0.7015,1.7
